cx_vehicle_id,cx_readable_timestamp,cx_sending_timestamp,cx_moving,cx_gear_position,cx_trip_id,cx_event_type,cx_msg_id,cx_make,cx_timestamp,cx_vehicle_speed.value,cx_vehicle_speed.unit,cx_Geolocation.cx_heading,cx_Geolocation.cx_latitude,cx_Geolocation.cx_longitude,cx_Geolocation.cx_altitude.value,cx_Geolocation.cx_altitude.unit,cx_acc.acceleration.value,cx_acc.acceleration.unit,cx_acc.accelerationLat.value,cx_acc.accelerationLat.unit,cx_Collision.cx_auto_e_call,cx_Fuel.cx_instantConsumption.value,cx_Fuel.cx_instantConsumption.unit,cx_Engine.cx_contact,cx_Engine.cx_ign_status,cx_Engine.cx_engine_speed.value,cx_Engine.cx_engine_speed.unit,cx_odometer.value,cx_odometer.unit,cx_Engine.cx_status,cx_Lights.cx_warnings,cx_Seatbelt.cx_driver_seatbelt,cx_Seatbelt.cx_passenger_seatbelt_front,cx_abs,cx_Door.cx_driver_door,cx_Fuel.cx_distance_to_empty.value,cx_Fuel.cx_distance_to_empty.unit,cx_Fuel.cx_abs_fuel_level.value,cx_Fuel.cx_abs_fuel_level.unit,cx_Fuel.cx_fuel_level.value,cx_Fuel.cx_fuel_level.unit,cx_Engine.cx_oil_temp.value,cx_Engine.cx_oil_temp.unit,cx_Engine.cx_remaining_oil_life.value,cx_Engine.cx_remaining_oil_life.unit,cx_Engine.cx_run_time,cx_Battery.cx_battery_level.value,cx_Battery.cx_battery_level.unit,cx_external_temperature.value,cx_external_temperature.unit,cx_Tyres.cx_fl_tirepress,cx_Tyres.cx_fr_tirepress,cx_Tyres.cx_rl_tirepress,cx_Tyres.cx_rr_tirepress,cx_Lights.cx_turn
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:22.552Z,07:42.5,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_start,6e91a700-3d07-11ee-9ed0-410517dee42f,stellantis,1692281183,0,km/h,0,40.901302,-81.123589,388.899994,m,0.22,m/s²,-0.14,m/s²,FALSE,50.70312,L/100 km,TRUE,4,809,rpm,49441,km,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:23.576Z,07:42.5,,,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a701-3d07-11ee-9ed0-410517dee42f,stellantis,1692281184,,,,,,,,,,,,,,,,4,,,,,running,FALSE,0,1,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:25.552Z,07:42.5,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a702-3d07-11ee-9ed0-410517dee42f,stellantis,1692281186,0,km/h,0,40.901264,-81.123611,384,m,0.32,m/s²,-0.14,m/s²,FALSE,72.80448,L/100 km,TRUE,4,832,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:28.552Z,07:42.7,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a708-3d07-11ee-9ed0-410517dee42f,stellantis,1692281189,0,km/h,0,40.901264,-81.123611,383.799988,m,0.26,m/s²,-0.14,m/s²,FALSE,75.18796,L/100 km,TRUE,4,829,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:31.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a709-3d07-11ee-9ed0-410517dee42f,stellantis,1692281192,0,km/h,0,40.901264,-81.123611,383.5,m,0.28,m/s²,-0.08,m/s²,FALSE,98.37272,L/100 km,TRUE,4,821,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:33.590Z,07:42.8,,,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70a-3d07-11ee-9ed0-410517dee42f,stellantis,1692281194,,,,,,,,,,,,,,,,4,,,,,running,FALSE,0,1,FALSE,0,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:34.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70b-3d07-11ee-9ed0-410517dee42f,stellantis,1692281195,0,km/h,0,40.901264,-81.123611,383.299988,m,0.28,m/s²,-0.1,m/s²,FALSE,89.27216,L/100 km,TRUE,4,812,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:37.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70c-3d07-11ee-9ed0-410517dee42f,stellantis,1692281198,0,km/h,0,40.901268,-81.123611,383.299988,m,0.3,m/s²,-0.12,m/s²,FALSE,116.79052,L/100 km,TRUE,4,843,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:40.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70d-3d07-11ee-9ed0-410517dee42f,stellantis,1692281201,0,km/h,0,40.901268,-81.123611,383.299988,m,0.32,m/s²,-0.1,m/s²,FALSE,91.0056,L/100 km,TRUE,4,857,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:43.576Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70e-3d07-11ee-9ed0-410517dee42f,stellantis,1692281204,0,km/h,0,40.901268,-81.123611,383.299988,m,0.24,m/s²,-0.12,m/s²,FALSE,112.24024,L/100 km,TRUE,4,849,rpm,,,running,FALSE,0,1,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:46.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a70f-3d07-11ee-9ed0-410517dee42f,stellantis,1692281207,0,km/h,0,40.901268,-81.123611,383.299988,m,0.32,m/s²,-0.1,m/s²,FALSE,88.8388,L/100 km,TRUE,4,847,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:49.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a710-3d07-11ee-9ed0-410517dee42f,stellantis,1692281210,0,km/h,0,40.901268,-81.123611,383.299988,m,0.24,m/s²,-0.12,m/s²,FALSE,109.4234,L/100 km,TRUE,4,858,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:52.552Z,07:42.8,FALSE,p,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a711-3d07-11ee-9ed0-410517dee42f,stellantis,1692281213,0,km/h,0,40.901268,-81.123611,383.299988,m,0.28,m/s²,-0.12,m/s²,FALSE,87.10536,L/100 km,TRUE,4,849,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J67+rghXXyZuovYkqv8pdbfHE5pqeHIZ4H9GB3YI0a0=,2023-08-17T14:06:53.590Z,07:43.1,,,F2M_6E91A6FF3D0711EE9ED0410517DEE42F,trip_ongoing,6e91a766-3d07-11ee-9ed0-410517dee42f,stellantis,1692281214,,,,,,,,,,,,,,,,4,,,,,running,FALSE,0,1,FALSE,0,,,,,,,,,,,,,,,,,,,,
